f.1,f.2,f.3,f.4
1.954,2.5826,2.9933,7.1841
2.0492,2.8112,3.2146,7.2286
1.9626,2.4564,2.7581,6.3302
2.1514,2.7925,3.1677,6.9659
2.399,3.028,3.2898,7.664
1.7616,2.2626,2.5171,5.6141
2.1651,2.745,3.0698,6.8129
1.5981,2.2878,3.1261,6.9295
1.9518,2.5083,2.9551,6.7958
1.9907,2.632,2.888,6.7897
2.378,3.119,3.4112,7.9853
2.0101,2.5084,2.7728,6.3625
2.3986,2.9981,3.3445,7.5388
2.1854,2.9616,3.376,7.1822
1.6216,2.1654,2.5929,6.3399
1.8559,2.5276,2.9112,6.7839
2.1937,2.9688,3.3329,7.7545
1.6146,2.0162,2.265,5.1336
2.0104,2.5312,2.8571,6.3733
2.4812,3.1732,3.449,7.9606
2.2045,2.6202,2.872,6.7076
1.7335,2.4045,2.9927,6.724
2.1546,2.97,3.4955,7.9516
1.9263,2.5134,2.875,6.4127
2.2155,2.8305,3.0656,7.2749
2.1508,2.8935,3.2137,7.1488
1.8601,2.2311,2.4829,5.6931
2.0525,2.5865,2.9176,6.4256
1.8131,2.5199,3.2278,7.3918
1.5413,2.0059,2.2399,5.2502
2.3543,3.0731,3.4055,7.9441
2.4651,3.306,3.7018,8.2545
2.3362,2.8867,3.245,7.3086
2.3202,3.0542,3.487,7.4682
2.5728,3.2548,3.5116,8.1785
1.6508,2.1285,2.4403,5.9005
2.0321,2.6511,2.9797,7.109
1.9219,2.6694,3.0451,6.6353
1.9175,2.4128,2.7186,6.1129
1.9591,2.5222,2.7334,6.3306
2.3035,2.9289,3.2047,7.3417
2.1916,2.7949,3.1136,6.9389
2.1248,2.918,3.5423,8.1789
2.3083,3.2305,3.7726,8.3646
1.9001,2.302,2.472,6.0487
1.9443,2.5379,2.8038,6.3462
2.3536,3.0285,3.3589,7.5666
1.9197,2.3763,2.6716,5.9604
2.3128,2.8721,3.2547,7.1494
1.7937,2.4926,2.9217,6.785
1.8134,2.3203,2.5709,6.1204
1.981,2.6147,2.9171,6.6378
2.8128,3.6717,4.1041,9.234
1.9214,2.4345,2.7794,6.0512
2.297,2.8512,3.1034,7.1933
2.3575,3.062,3.3952,7.566
1.6677,2.218,2.7663,6.5699
1.8537,2.5517,3.0448,6.7668
2.2283,3.0491,3.5215,7.8774
1.8799,2.3797,2.5594,6.1195
2.2301,2.8181,3.0612,7.186
2.0566,2.7868,3.1155,6.8265
1.8372,2.2199,2.4821,5.6244
1.8959,2.6166,3.357,7.5873
2.2583,3.0436,3.4387,8.3878
1.9231,2.4808,2.7393,6.3991
2.3156,2.9879,3.3009,7.6324
2.4218,3.2067,3.5909,7.9609
2.2844,2.8068,3.1676,7.0722
1.9927,2.6376,2.8971,6.5092
1.8243,2.5688,3.2528,7.6206
1.5599,1.9798,2.2429,5.2334
1.9392,2.5011,2.8147,6.4901
1.9371,2.6333,3.0044,6.4979
2.1399,2.5936,2.8027,6.6649
2.3273,2.947,3.2465,7.3795
2.6991,3.3957,3.7771,8.4723
1.6898,2.288,2.7919,6.2557
2.1014,2.8468,3.3386,7.5225
2.1589,2.9296,3.235,7.4897
1.8588,2.2478,2.4635,5.8281
1.9575,2.5259,2.826,6.2876
2.3286,2.9737,3.3461,7.3797
1.9061,2.347,2.6762,5.8661
1.7304,2.3069,2.6686,6.6155
2.1256,2.96,3.3766,7.6347
2.1373,2.7242,3.0136,7.0305
2.2754,3.0064,3.3698,7.5019
2.6497,3.4492,3.8798,8.5683
1.8114,2.2258,2.408,5.6398
2.2309,2.7487,3.0104,6.9298
1.8948,2.6249,3.1638,7.2992
1.8765,2.3922,2.7063,6.3419
1.8914,2.5619,2.93,6.3843
2.1831,2.8445,3.0819,7.2151
1.8647,2.3407,2.5706,5.8987
2.6893,3.3658,3.7339,8.4367
2.534,3.384,3.8226,8.2505
1.8086,2.3058,2.7106,6.2806
2.004,2.6001,2.8564,6.8248
2.3551,3.0556,3.3516,7.8964
1.7517,2.2445,2.5147,5.6124
2.1838,2.7785,3.1239,6.9268
2.2246,2.9547,3.3666,7.2003
2.0049,2.4183,2.6313,6.1498
1.5333,2.1425,2.7443,6.2603
1.9199,2.6641,3.1718,7.3125
1.9577,2.4791,2.8157,6.4277
2.3769,3.0467,3.4538,7.7694
2.1541,2.8743,3.1372,7.1548
2.0568,2.5047,2.7307,6.382
2.1989,2.8069,3.1158,6.9786
1.8702,2.6199,3.4279,7.9862
1.7551,2.35,2.7621,6.1805
2.0489,2.6849,2.9228,7.0362
2.1644,2.8989,3.1901,7.3276
1.8592,2.2387,2.4696,5.7632
1.8144,2.3865,2.6969,5.865
2.6763,3.4552,3.9132,8.5004
1.7366,2.2994,2.6934,6.4711
2.1416,2.845,3.2243,7.6944
2.1543,2.9795,3.3767,7.5221
2.1353,2.708,3.0322,6.8937
2.2679,2.9751,3.372,7.3556
2.5133,3.1903,3.4652,8.0351
1.6713,2.0588,2.2752,5.1854
1.6926,2.2768,2.7586,6.4603
1.8943,2.6063,3.0443,6.8301
1.813,2.2814,2.592,5.9126
2.2123,2.8811,3.1533,7.2653
2.6054,3.3516,3.6911,8.4214
2.1839,2.7086,3.0246,6.8051
2.5641,3.185,3.5891,7.9433
1.8443,2.6576,3.3802,7.2172
1.7166,2.1484,2.3339,5.7089
1.9111,2.4949,2.7446,6.3759
2.264,2.9333,3.2351,7.4387
1.7786,2.2546,2.5316,5.6324
2.1668,2.7354,3.0899,6.801
2.1349,2.7499,2.9921,6.8515
2.0131,2.6359,3.0392,7.3688
2.0566,2.8254,3.2336,7.2373
2.4536,3.3245,3.7424,8.4325
1.9505,2.443,2.7675,6.1675
2.2577,2.7899,3.0142,7.1092
2.1983,2.8897,3.1988,7.1356
2.0669,2.506,2.7871,6.3333
1.8454,2.5206,3.0172,6.8766
2.1876,2.9796,3.4392,7.8203
1.7,2.2251,2.443,5.6223
2.0725,2.6807,2.9496,6.7592
2.6265,3.5102,3.9279,8.6345
2.1149,2.5056,2.8226,6.3999
2.1963,2.8182,3.2187,6.9302
1.8491,2.5555,3.2435,7.8046
1.7654,2.2714,2.5843,6.1078
2.1446,2.7914,3.1366,7.3242
2.0801,2.8593,3.2584,7.0696
2.0329,2.5433,2.89,6.4092
2.0594,2.6205,2.8275,6.5925
2.3924,3.016,3.292,7.5711
1.404,1.8341,2.1857,5.146
2.176,2.8734,3.3219,7.7617
2.3685,3.2059,3.661,8.2132
2.0982,2.5558,2.7336,6.67
2.0095,2.6601,2.9438,6.5948
2.4406,3.1625,3.5068,7.8595
2.0221,2.5464,2.8609,6.3385
1.8482,2.5523,3.2513,7.4637
1.8948,2.6424,3.018,6.949
1.739,2.1569,2.3623,5.6411
1.9358,2.5013,2.778,6.3223
2.2762,2.9192,3.2605,7.3235
2.0843,2.6705,3.0435,6.6001
2.4398,3.0447,3.3086,7.6614
1.9834,2.78,3.4229,7.8981
2.0426,2.6501,3.0044,7.0804
2.0949,2.8483,3.2423,7.1632
2.4696,3.3044,3.7374,8.2542
1.7674,2.1294,2.3101,5.4662
2.1744,2.6519,2.9149,6.732
1.9864,2.6564,2.9956,6.4858
1.6025,2.0957,2.4978,5.778
1.8072,2.4476,2.8586,6.3247
2.5092,3.2905,3.5506,8.5532
2.0208,2.5766,2.8213,6.5103
2.4392,3.0919,3.411,7.7798
2.4986,3.2802,3.6758,8.0761
2.0699,2.4551,2.7756,6.2469
1.7064,2.3002,2.6422,6.2127
2.0861,2.7998,3.1296,7.3825
1.8039,2.2855,2.5352,5.8564
2.1738,2.7621,3.0789,7.0015
2.1187,2.8452,3.2305,6.9537
1.9429,2.3602,2.55,6.0113
2.5248,3.197,3.5186,7.9758
2.3041,3.182,3.8026,8.9673
1.7679,2.3017,2.6272,5.8774
2.2036,2.8744,3.2591,7.2785
2.2123,2.919,3.1882,7.3119
2.0705,2.5153,2.7578,6.4169
2.0577,2.6859,3.0093,6.6176
2.4386,3.131,3.5249,7.7197
1.579,2.1593,2.7853,6.2915
1.9064,2.555,2.9136,7.0609
1.8723,2.6234,2.9827,6.6429
2.0223,2.4798,2.7582,6.4013
2.2411,2.8809,3.2484,7.1925
2.6325,3.3603,3.8099,8.3378
1.9053,2.3472,2.5333,5.9379
1.7965,2.4356,2.9768,7.1846
2.0414,2.8094,3.2664,7.5484
1.9917,2.5293,2.8312,6.6218
1.9289,2.6229,2.9931,6.4694
2.2398,2.915,3.155,7.3489
1.7019,2.0766,2.2744,5.2738
2.0881,2.5657,2.8422,6.4633
1.9637,2.7694,3.5125,7.8286
2.0164,2.6086,3.0214,6.9427
2.1448,2.8079,3.0641,7.259
2.4984,3.2473,3.5511,8.3046
1.9469,2.5068,2.7983,6.2472
2.354,3.0002,3.3666,7.4595
2.3808,3.1556,3.5861,7.6917
1.6146,2.0708,2.3665,5.8372
1.7808,2.3822,2.699,6.2346
2.1227,2.8265,3.1593,7.2781
1.8356,2.3136,2.5991,5.8664
2.6582,3.3553,3.7931,8.413
2.2498,3.0413,3.3696,7.4636
2.2455,2.7767,3.0668,6.9796
1.9129,2.6582,3.2418,7.3373
2.2974,3.1726,3.6864,8.3911
1.6991,2.1542,2.4661,5.4688
2.0202,2.523,2.7079,6.4774
2.1432,2.7714,3.0363,6.9344
1.93,2.3058,2.5456,5.8928
1.8827,2.4593,2.7738,6.0405
1.8373,2.5576,3.1381,7.1063
1.9853,2.5551,2.7954,6.693
2.3722,3.0622,3.3484,7.9166
2.3195,3.1388,3.5064,7.7682
1.9985,2.4039,2.6908,6.1377
2.21,2.7903,3.1627,6.9266
2.4587,3.0417,3.2978,7.6755
1.5797,2.0842,2.391,5.5247
1.9674,2.6022,2.9315,6.7818
2.0717,2.8193,3.1881,7.0488
1.9983,2.4942,2.8188,6.3158
1.9092,2.4897,2.7262,6.1957
2.7461,3.5212,3.8828,8.7697
2.0587,2.4969,2.7864,6.3081
1.805,2.4711,3.2432,7.5874
1.9447,2.7492,3.3593,7.2837
1.8924,2.3977,2.6257,6.3083
2.0653,2.7114,3.0033,6.876
2.4144,3.1356,3.4847,7.8925
1.9377,2.4772,2.8015,6.1484
2.3114,2.9343,3.3369,7.2525
1.67,2.3473,2.99,7.1509
1.5695,1.9553,2.1746,5.3308
1.9761,2.6429,2.9828,6.7079
2.4007,3.1764,3.5568,8.0228
1.9936,2.5045,2.8346,6.2925
2.3052,2.8502,3.0748,7.2444
2.2062,2.9174,3.2295,7.1872
1.6779,2.234,2.7201,6.4498
1.9221,2.6175,3.0651,6.9613
2.2618,3.0657,3.4997,7.9309
1.5854,1.9866,2.1598,5.0638
1.9854,2.4928,2.7328,6.3182
2.0746,2.707,3.0194,6.6957
2.3652,2.8504,3.2037,7.2137
1.913,2.6599,3.3632,7.4487
2.268,3.0737,3.4704,8.3087
2.0334,2.6092,2.8841,6.7443
2.401,3.0824,3.4162,7.8669
2.1801,3.0034,3.417,7.3072
1.972,2.4045,2.7361,6.0594
2.038,2.5727,2.8161,6.4363
1.8662,2.5712,3.1431,7.451
1.6634,2.1843,2.4974,5.6822
2.0222,2.6619,3.0106,6.8214
2.6014,3.5103,3.995,8.6904
2.3361,2.8475,3.046,7.3158
2.2334,2.933,3.2309,7.2568
2.638,3.3966,3.7622,8.4232
1.6584,2.1366,2.4995,5.8254
2.0577,2.6924,3.0884,7.1221
2.0334,2.7156,2.9638,6.916
1.9052,2.3279,2.5323,6.0021
2.0932,2.6574,2.9417,6.6682
2.4244,3.0589,3.4174,7.6334
1.7445,2.2601,2.5778,5.5509
2.1061,2.8455,3.2826,7.8893
2.2592,3.1223,3.5318,8.0798
2.0022,2.462,2.722,6.3976
2.0726,2.7218,3.0691,6.7568
2.4783,3.2091,3.6276,7.9468
1.9499,2.3894,2.5937,6.0565
2.3311,2.8663,3.1511,7.2209
1.6101,2.3013,3.073,6.8063
1.7692,2.342,2.7534,6.3491
1.9389,2.6455,3.0599,6.7592
2.199,2.9025,3.1594,7.4657
2.0045,2.5047,2.7642,6.3404
2.4473,3.0625,3.4083,7.6994
2.5324,3.2918,3.7141,8.098
1.7767,2.3793,3.0292,7.0147
1.8129,2.4752,2.8111,6.5358
2.2014,2.9747,3.2987,7.7342
1.9349,2.4961,2.7655,6.3265
2.3,2.9491,3.2835,7.4213
2.1732,2.9567,3.3595,7.1884
1.7275,2.0397,2.1954,5.2521
1.5576,2.0979,2.5321,6.0193
2.3331,3.1416,3.6195,8.557
1.8844,2.4375,2.7589,6.211
2.3144,2.9971,3.3838,7.5705
2.321,3.0357,3.3019,7.6111
2.1593,2.6153,2.8611,6.67
2.1589,2.7969,3.123,6.9077
1.9186,2.6929,3.4401,7.9218
1.6897,2.1553,2.4916,5.6923
1.9848,2.5204,2.7303,6.617
1.8716,2.545,2.8408,6.3048
1.8243,2.2477,2.4974,5.7047
2.3792,3.076,3.4701,7.5959
2.7737,3.5451,4.022,8.7353
1.7454,2.3335,2.722,6.3998
2.1457,2.8688,3.2463,7.6311
2.2743,3.1096,3.5039,7.8818
1.9802,2.4164,2.7116,6.2143
1.9728,2.6066,2.9817,6.391
2.2631,2.8711,3.0993,7.2222
1.8556,2.2844,2.4996,5.7625
1.7997,2.4271,2.8849,6.8582
1.8832,2.6253,3.0393,6.7651
2.2905,2.9354,3.3139,7.5335
2.3561,3.0465,3.295,7.7266
2.7111,3.4656,3.7849,8.7419
1.7731,2.2002,2.4505,5.5255
2.2329,2.7747,3.1138,6.931
1.9168,2.6733,3.2657,7.2625
1.8084,2.2618,2.4571,6.01
1.8946,2.5019,2.7691,6.3256
2.2558,2.9415,3.26,7.4029
1.9108,2.3897,2.6838,5.996
2.2633,2.8311,3.2049,7.0487
2.4143,3.2133,3.5383,7.9102
1.6578,2.1649,2.6163,6.3112
1.9523,2.6202,3.0634,7.0568
2.3237,3.1182,3.5526,8.1525
1.911,2.4567,2.7996,6.1946
2.2184,2.795,3.0334,7.1229
2.3207,3.0142,3.331,7.5029
2.1505,2.6038,2.9018,6.5926
1.5622,2.2133,2.8834,6.2848
1.9667,2.7644,3.3445,7.4399
1.579,1.9894,2.1538,5.1757
2.3545,2.9881,3.2524,7.6931
2.2946,3.0786,3.4342,7.6047
2.1923,2.6894,3.0057,6.7965
2.3281,2.9889,3.3845,7.3707
1.9252,2.6649,3.2925,8.0536
1.7323,2.3142,2.63,6.0587
2.1106,2.8088,3.141,7.2524
2.1941,2.9929,3.3712,7.4444
1.8477,2.2268,2.5159,5.6959
1.851,2.3507,2.5594,5.8924
2.2075,2.7787,3.0552,6.9557
1.8172,2.389,2.8459,6.6833
2.228,2.9535,3.4076,7.9303
2.1306,2.9862,3.4559,7.4111
2.0493,2.5616,2.7751,6.5737
2.1779,2.8309,3.127,7.0628
2.5378,3.2543,3.6206,8.101
1.7928,2.223,2.5132,5.5585
1.7831,2.4178,2.9843,6.7999
1.9309,2.6178,2.944,6.9154
1.8391,2.2927,2.5207,5.9871
1.8372,2.4465,2.7508,6.0707
2.6743,3.4973,3.9358,8.6671
2.2472,2.8414,3.2405,7.0441
2.5049,3.0941,3.3373,7.8238
1.9608,2.7592,3.321,7.6354
1.8521,2.3334,2.6037,6.1844
2.0676,2.7011,3.0303,6.8858
2.4113,3.13,3.5165,7.8877
1.7235,2.1958,2.391,5.5053
2.1268,2.6819,2.9434,6.7228
2.1557,2.8383,3.1693,6.974
1.7226,2.284,2.6989,6.299
2.229,3.0832,3.5863,7.8417
2.5479,3.3966,3.6996,8.7214
1.8938,2.2999,2.5211,5.9048
2.3318,2.867,3.1772,7.2714
2.1868,2.9159,3.3037,7.118
2.0519,2.4889,2.8309,6.2586
1.6279,2.2281,2.7726,6.5974
2.0195,2.7526,3.2139,7.6333
1.7472,2.2782,2.571,5.8597
2.1089,2.7501,3.0905,6.9925
2.2099,2.9549,3.3536,7.2907
2.153,2.5439,2.7603,6.5734
2.1262,2.7507,3.0627,6.806
1.9268,2.6897,3.4822,8.0398
1.8324,2.3978,2.796,6.3528
2.2201,2.9293,3.359,7.5809
2.111,2.8339,3.0856,7.1398
2.0387,2.5139,2.7318,6.428
2.1801,2.7922,3.0899,6.9655
2.5119,3.1866,3.5574,7.9242
1.4525,1.9294,2.3573,5.3204
1.777,2.3285,2.5823,6.2787
2.351,3.1619,3.5048,8.1236
2.2052,2.7235,2.9992,7.0281
2.2575,2.9514,3.3141,7.3202
2.6442,3.4095,3.847,8.4337
2.1201,2.6057,2.8212,6.594
1.9213,2.6152,3.1706,7.6665
1.8985,2.6993,3.166,6.9424
1.7282,2.1454,2.41,5.561
1.9211,2.5055,2.8453,6.2556
2.1963,2.7834,3.0144,7.0555
1.6782,2.0954,2.3128,5.2626
2.5226,3.1443,3.5011,7.8649
2.0719,2.9065,3.6203,8.1537
2.0942,2.7105,3.1284,7.1823
2.0056,2.6985,2.9849,6.8109
2.4049,3.1784,3.5047,8.0072
1.8404,2.2603,2.5215,5.7257
2.2537,2.7888,3.1384,6.9945
2.17,2.8817,3.2932,7.0076
1.6381,2.1076,2.3634,5.8429
1.8561,2.4585,2.7368,6.4559
2.1768,2.8709,3.1721,7.4107
2.0548,2.6847,3.0231,6.6751
2.5069,3.2328,3.6463,8.0245
2.4313,3.1906,3.4759,7.9234
2.062,2.4496,2.6775,6.2668
1.8121,2.4627,2.8978,6.6091
2.1917,2.9671,3.3862,7.7523
1.9132,2.4454,2.7702,6.2175
2.1908,2.7496,2.9617,7.0482
2.0437,2.7494,3.0528,6.7644
2.0117,2.4836,2.7585,6.2488
2.1006,2.7155,3.0593,6.6842
1.7219,2.1919,2.4433,5.8566
2.1378,2.7589,3.0541,7.2383
2.2972,3.0464,3.3979,7.7024
2.1012,2.558,2.8647,6.5489
1.9944,2.6602,3.0462,6.4875
2.3285,2.9792,3.255,7.4389
1.5581,2.0957,2.5542,5.9744
1.9376,2.609,3.0368,7.0851
1.9488,2.7308,3.1489,6.8684
1.7622,2.1817,2.4781,5.5861
2.2615,2.857,3.0783,7.2466
2.6414,3.3183,3.6179,8.3755
1.9508,2.4627,2.7397,6.1412
1.8706,2.5643,3.2052,7.4274
2.0864,2.9151,3.4565,7.6803
1.9873,2.5078,2.705,6.588
2.0265,2.6877,2.9639,6.7473
2.3882,3.1145,3.4461,7.7975
1.8436,2.2536,2.5271,5.6932
2.2223,2.7376,3.0972,6.8453
1.5967,2.2405,2.7132,6.2222
2.0263,2.6084,2.9153,6.9372
2.2009,2.9348,3.2913,7.4665
2.5742,3.3942,3.7971,8.5578
2.0718,2.6841,3.0536,6.6388
2.3765,2.9908,3.2502,7.5323
2.4182,3.1566,3.4924,7.8016
1.625,2.0601,2.395,5.7367
1.756,2.3613,2.7316,6.0745
2.1236,2.8412,3.2374,7.216
1.7174,2.1266,2.3122,5.4424
2.0847,2.5934,2.8507,6.5771
2.4762,3.273,3.6725,8.0384
2.3252,2.8326,3.1968,7.1212
2.0225,2.786,3.4237,7.6738
2.3133,3.0948,3.4035,8.3098
1.6551,2.1003,2.3105,5.346
2.0895,2.6536,2.931,6.7223
2.1713,2.8676,3.2201,7.0698
2.0129,2.4405,2.7585,6.1633
1.9178,2.4655,2.6879,6.1361
1.8775,2.5796,3.0313,7.1766
1.7275,2.2446,2.52,5.838
2.5039,3.2592,3.644,8.3495
2.3174,3.2081,3.6662,7.8148
1.9879,2.3933,2.586,6.1379
2.1665,2.7398,3.019,6.8474
2.5352,3.1849,3.5426,7.9385
1.5551,2.1026,2.6439,6.0117
1.9566,2.6514,3.1643,7.1996
2.0592,2.7873,3.0867,7.2428
1.9847,2.4836,2.719,6.4283
1.8835,2.5375,2.8562,6.2421
2.2688,2.9836,3.3569,7.3537
2.0224,2.4739,2.8215,6.2122
1.8505,2.4777,2.9922,7.2893
2.0001,2.7628,3.2139,7.2969
1.9445,2.4492,2.7408,6.3887
2.1398,2.7986,3.1585,7.0403
2.4955,3.2343,3.6606,8.0656
1.8082,2.2844,2.4766,5.7385
2.2019,2.7604,3.0222,6.9265
1.7445,2.4614,3.1168,7.1393
1.6602,2.0921,2.3808,5.6145
1.7893,2.3819,2.7214,6.0332
2.5496,3.2946,3.5572,8.4404
2.1291,2.6215,2.8678,6.6765
2.5327,3.132,3.4657,7.9052
2.2349,3.0345,3.4454,7.367
1.8112,2.4322,2.9856,6.815
1.9568,2.6423,2.964,6.959
2.3064,3.0892,3.4148,7.9954
1.7303,2.1828,2.4336,5.5199
2.1344,2.6952,3.0221,6.7662
2.2185,2.9086,3.3033,7.1315
1.9483,2.3307,2.5294,5.9541
1.9417,2.6819,3.2149,7.309
2.3636,3.2409,3.7232,8.5497
2.1065,2.7461,3.1063,6.9761
2.4897,3.2326,3.6561,8.1246
2.3069,3.0874,3.3985,7.6428
1.9245,2.2893,2.5243,5.8638
2.1384,2.6727,2.9911,6.6688
1.9808,2.7182,3.3171,7.6766
1.6486,2.1761,2.5301,5.5507
1.9446,2.5006,2.6909,6.4603
2.0405,2.7045,2.9656,6.7753
2.3626,2.8891,3.1804,7.3551
2.3314,3.0514,3.4284,7.5079
2.733,3.518,3.9715,8.6597
1.7181,2.1854,2.4264,5.9306
2.1063,2.7158,2.99,7.1983
2.0627,2.8079,3.1482,7.013
1.9896,2.4646,2.7512,6.2703
2.1393,2.7648,3.1286,6.8384
2.3845,2.9941,3.2406,7.5457
1.8719,2.3464,2.5831,5.8713
1.6454,2.2764,2.9374,6.9262
2.3093,3.2326,3.8699,8.7709
2.098,2.632,2.9901,6.9089
1.9742,2.6204,2.8807,6.5736
2.4009,3.1292,3.4412,7.8554
1.9959,2.5061,2.7934,6.2791
2.3917,2.9965,3.3669,7.4684
1.7406,2.4972,3.3056,7.1744
1.8213,2.3756,2.6586,6.4165
1.988,2.6665,2.9767,6.8566
2.3152,3.0704,3.4121,7.8023
1.5794,1.9777,2.237,4.9647
2.4339,3.0562,3.4735,7.6148
2.3907,3.0654,3.3196,7.6581
1.764,2.2843,2.659,6.5095
1.9352,2.6105,2.9912,6.846
2.3084,3.0969,3.4847,7.9794
2.003,2.5456,2.8717,6.4409
2.2748,2.8362,3.047,7.2484
2.0492,2.7713,3.0789,6.7968
1.8105,2.1714,2.4059,5.5249
1.6345,2.2245,2.7113,6.1765
1.9922,2.7089,3.1604,7.2043
1.9409,2.4747,2.6928,6.3552
2.3612,3.011,3.2931,7.679
2.4599,3.2334,3.5959,8.0304
2.2954,2.7972,3.1342,7.0702
2.1653,2.8747,3.2809,7.0
1.9743,2.7389,3.273,7.8193
1.6988,2.1572,2.4014,5.6679
2.071,2.6595,2.9541,6.8764
2.0693,2.7882,3.1493,6.8931
1.9686,2.425,2.7486,6.1188
2.0319,2.5619,2.7933,6.433
2.8586,3.5821,3.9498,8.9652
1.8075,2.4553,2.9152,6.5338
2.2286,3.0164,3.4709,7.8496
2.3145,3.2134,3.6851,7.986
1.8619,2.2258,2.379,5.787
1.9538,2.5039,2.7481,6.2598
2.3415,2.9681,3.2832,7.412
1.896,2.3221,2.602,5.8387
1.8823,2.5281,3.0152,6.9734
1.8242,2.5091,2.7961,6.4296
1.813,2.2812,2.4909,5.8826
2.3722,3.0958,3.4371,7.7422
2.7515,3.5443,3.9592,8.8281
1.9502,2.4137,2.7416,6.0388
2.2833,2.7933,3.0252,7.0719
1.7437,2.4389,3.1854,7.4821
1.8207,2.3442,2.6946,6.4369
1.8481,2.5255,2.9056,6.3941
2.2299,3.0058,3.4108,7.5561
1.8468,2.3306,2.5324,5.908
2.2031,2.7695,3.0404,6.9828
2.0861,2.7967,3.1391,6.838
1.7669,2.3283,2.8837,6.7483
2.0632,2.792,3.3227,7.4588
2.3597,3.1216,3.4293,8.233
1.8781,2.4176,2.6802,6.1095
2.2876,2.9283,3.259,7.364
2.3517,3.1151,3.5171,7.6462
2.2298,2.7383,3.1157,6.8521
1.6565,2.2925,2.7936,6.62
2.0327,2.7926,3.2077,7.6297
1.6428,2.0431,2.2632,5.3271
2.01,2.5348,2.8191,6.5064
2.2515,3.0733,3.5086,7.4887
2.0793,2.5234,2.7209,6.4414
2.2188,2.8302,3.115,7.0504
1.9811,2.7536,3.4522,8.117
1.7927,2.3859,2.7584,6.2109
2.1742,2.8927,3.2919,7.4114
2.1983,2.9286,3.1919,7.3947
1.8729,2.2423,2.4495,5.7817
