f.1,f.2,f.3,f.4
1.8948,2.6249,3.1638,7.2992
1.8914,2.5619,2.93,6.3843
1.8647,2.3407,2.5706,5.8987
2.534,3.384,3.8226,8.2505
2.004,2.6001,2.8564,6.8248
1.7517,2.2445,2.5147,5.6124
2.2246,2.9547,3.3666,7.2003
1.5333,2.1425,2.7443,6.2603
1.9577,2.4791,2.8157,6.4277
2.1541,2.8743,3.1372,7.1548
2.1989,2.8069,3.1158,6.9786
1.7551,2.35,2.7621,6.1805
2.1644,2.8989,3.1901,7.3276
1.8144,2.3865,2.6969,5.865
1.7366,2.2994,2.6934,6.4711
2.1543,2.9795,3.3767,7.5221
2.2679,2.9751,3.372,7.3556
1.6713,2.0588,2.2752,5.1854
1.8943,2.6063,3.0443,6.8301
2.2123,2.8811,3.1533,7.2653
2.1839,2.7086,3.0246,6.8051
1.8443,2.6576,3.3802,7.2172
1.9111,2.4949,2.7446,6.3759
1.7786,2.2546,2.5316,5.6324
2.1349,2.7499,2.9921,6.8515
2.0566,2.8254,3.2336,7.2373
1.9505,2.443,2.7675,6.1675
2.1983,2.8897,3.1988,7.1356
1.8454,2.5206,3.0172,6.8766
1.7,2.2251,2.443,5.6223
2.6265,3.5102,3.9279,8.6345
2.1963,2.8182,3.2187,6.9302
1.7654,2.2714,2.5843,6.1078
2.0801,2.8593,3.2584,7.0696
2.0594,2.6205,2.8275,6.5925
1.404,1.8341,2.1857,5.146
2.3685,3.2059,3.661,8.2132
2.0095,2.6601,2.9438,6.5948
2.0221,2.5464,2.8609,6.3385
1.8948,2.6424,3.018,6.949
1.9358,2.5013,2.778,6.3223
2.0843,2.6705,3.0435,6.6001
1.9834,2.78,3.4229,7.8981
2.0949,2.8483,3.2423,7.1632
1.7674,2.1294,2.3101,5.4662
1.9864,2.6564,2.9956,6.4858
1.8072,2.4476,2.8586,6.3247
2.0208,2.5766,2.8213,6.5103
2.4986,3.2802,3.6758,8.0761
1.7064,2.3002,2.6422,6.2127
1.8039,2.2855,2.5352,5.8564
2.1187,2.8452,3.2305,6.9537
2.5248,3.197,3.5186,7.9758
1.7679,2.3017,2.6272,5.8774
2.2123,2.919,3.1882,7.3119
2.0577,2.6859,3.0093,6.6176
1.579,2.1593,2.7853,6.2915
1.8723,2.6234,2.9827,6.6429
2.2411,2.8809,3.2484,7.1925
1.9053,2.3472,2.5333,5.9379
2.0414,2.8094,3.2664,7.5484
1.9289,2.6229,2.9931,6.4694
1.7019,2.0766,2.2744,5.2738
1.9637,2.7694,3.5125,7.8286
2.1448,2.8079,3.0641,7.259
1.9469,2.5068,2.7983,6.2472
2.3808,3.1556,3.5861,7.6917
1.7808,2.3822,2.699,6.2346
1.8356,2.3136,2.5991,5.8664
2.2498,3.0413,3.3696,7.4636
1.9129,2.6582,3.2418,7.3373
1.6991,2.1542,2.4661,5.4688
2.1432,2.7714,3.0363,6.9344
1.8827,2.4593,2.7738,6.0405
1.9853,2.5551,2.7954,6.693
2.3195,3.1388,3.5064,7.7682
2.21,2.7903,3.1627,6.9266
1.5797,2.0842,2.391,5.5247
2.0717,2.8193,3.1881,7.0488
1.9092,2.4897,2.7262,6.1957
2.0587,2.4969,2.7864,6.3081
1.9447,2.7492,3.3593,7.2837
2.0653,2.7114,3.0033,6.876
1.9377,2.4772,2.8015,6.1484
1.67,2.3473,2.99,7.1509
1.9761,2.6429,2.9828,6.7079
1.9936,2.5045,2.8346,6.2925
2.2062,2.9174,3.2295,7.1872
1.9221,2.6175,3.0651,6.9613
1.5854,1.9866,2.1598,5.0638
2.0746,2.707,3.0194,6.6957
1.913,2.6599,3.3632,7.4487
2.0334,2.6092,2.8841,6.7443
2.1801,3.0034,3.417,7.3072
2.038,2.5727,2.8161,6.4363
1.6634,2.1843,2.4974,5.6822
2.6014,3.5103,3.995,8.6904
2.2334,2.933,3.2309,7.2568
1.6584,2.1366,2.4995,5.8254
2.0334,2.7156,2.9638,6.916
2.0932,2.6574,2.9417,6.6682
1.7445,2.2601,2.5778,5.5509
2.2592,3.1223,3.5318,8.0798
2.0726,2.7218,3.0691,6.7568
1.9499,2.3894,2.5937,6.0565
1.6101,2.3013,3.073,6.8063
1.9389,2.6455,3.0599,6.7592
2.0045,2.5047,2.7642,6.3404
2.5324,3.2918,3.7141,8.098
1.8129,2.4752,2.8111,6.5358
1.9349,2.4961,2.7655,6.3265
2.1732,2.9567,3.3595,7.1884
1.5576,2.0979,2.5321,6.0193
1.8844,2.4375,2.7589,6.211
2.321,3.0357,3.3019,7.6111
2.1589,2.7969,3.123,6.9077
1.6897,2.1553,2.4916,5.6923
1.8716,2.545,2.8408,6.3048
2.3792,3.076,3.4701,7.5959
1.7454,2.3335,2.722,6.3998
2.2743,3.1096,3.5039,7.8818
1.9728,2.6066,2.9817,6.391
1.8556,2.2844,2.4996,5.7625
1.8832,2.6253,3.0393,6.7651
2.3561,3.0465,3.295,7.7266
1.7731,2.2002,2.4505,5.5255
1.9168,2.6733,3.2657,7.2625
1.8946,2.5019,2.7691,6.3256
1.9108,2.3897,2.6838,5.996
2.4143,3.2133,3.5383,7.9102
1.9523,2.6202,3.0634,7.0568
1.911,2.4567,2.7996,6.1946
2.3207,3.0142,3.331,7.5029
1.5622,2.2133,2.8834,6.2848
1.579,1.9894,2.1538,5.1757
2.2946,3.0786,3.4342,7.6047
2.3281,2.9889,3.3845,7.3707
1.7323,2.3142,2.63,6.0587
2.1941,2.9929,3.3712,7.4444
1.851,2.3507,2.5594,5.8924
1.8172,2.389,2.8459,6.6833
2.1306,2.9862,3.4559,7.4111
2.1779,2.8309,3.127,7.0628
1.7928,2.223,2.5132,5.5585
1.9309,2.6178,2.944,6.9154
1.8372,2.4465,2.7508,6.0707
2.2472,2.8414,3.2405,7.0441
1.9608,2.7592,3.321,7.6354
2.0676,2.7011,3.0303,6.8858
1.7235,2.1958,2.391,5.5053
2.1557,2.8383,3.1693,6.974
2.229,3.0832,3.5863,7.8417
1.8938,2.2999,2.5211,5.9048
2.1868,2.9159,3.3037,7.118
1.6279,2.2281,2.7726,6.5974
1.7472,2.2782,2.571,5.8597
2.2099,2.9549,3.3536,7.2907
2.1262,2.7507,3.0627,6.806
1.8324,2.3978,2.796,6.3528
2.111,2.8339,3.0856,7.1398
2.1801,2.7922,3.0899,6.9655
1.4525,1.9294,2.3573,5.3204
2.351,3.1619,3.5048,8.1236
2.2575,2.9514,3.3141,7.3202
2.1201,2.6057,2.8212,6.594
1.8985,2.6993,3.166,6.9424
1.9211,2.5055,2.8453,6.2556
1.6782,2.0954,2.3128,5.2626
2.0719,2.9065,3.6203,8.1537
2.0056,2.6985,2.9849,6.8109
1.8404,2.2603,2.5215,5.7257
2.17,2.8817,3.2932,7.0076
1.8561,2.4585,2.7368,6.4559
2.0548,2.6847,3.0231,6.6751
2.4313,3.1906,3.4759,7.9234
1.8121,2.4627,2.8978,6.6091
1.9132,2.4454,2.7702,6.2175
2.0437,2.7494,3.0528,6.7644
2.1006,2.7155,3.0593,6.6842
1.7219,2.1919,2.4433,5.8566
2.2972,3.0464,3.3979,7.7024
1.9944,2.6602,3.0462,6.4875
1.5581,2.0957,2.5542,5.9744
1.9488,2.7308,3.1489,6.8684
2.2615,2.857,3.0783,7.2466
1.9508,2.4627,2.7397,6.1412
2.0864,2.9151,3.4565,7.6803
2.0265,2.6877,2.9639,6.7473
1.8436,2.2536,2.5271,5.6932
1.5967,2.2405,2.7132,6.2222
2.2009,2.9348,3.2913,7.4665
2.0718,2.6841,3.0536,6.6388
2.4182,3.1566,3.4924,7.8016
1.756,2.3613,2.7316,6.0745
1.7174,2.1266,2.3122,5.4424
2.4762,3.273,3.6725,8.0384
2.0225,2.786,3.4237,7.6738
1.6551,2.1003,2.3105,5.346
2.1713,2.8676,3.2201,7.0698
1.9178,2.4655,2.6879,6.1361
1.7275,2.2446,2.52,5.838
2.3174,3.2081,3.6662,7.8148
2.1665,2.7398,3.019,6.8474
1.5551,2.1026,2.6439,6.0117
2.0592,2.7873,3.0867,7.2428
1.8835,2.5375,2.8562,6.2421
2.0224,2.4739,2.8215,6.2122
2.0001,2.7628,3.2139,7.2969
2.1398,2.7986,3.1585,7.0403
1.8082,2.2844,2.4766,5.7385
1.7445,2.4614,3.1168,7.1393
1.7893,2.3819,2.7214,6.0332
2.1291,2.6215,2.8678,6.6765
2.2349,3.0345,3.4454,7.367
1.9568,2.6423,2.964,6.959
1.7303,2.1828,2.4336,5.5199
2.2185,2.9086,3.3033,7.1315
1.9417,2.6819,3.2149,7.309
2.1065,2.7461,3.1063,6.9761
2.3069,3.0874,3.3985,7.6428
2.1384,2.6727,2.9911,6.6688
1.6486,2.1761,2.5301,5.5507
2.0405,2.7045,2.9656,6.7753
2.3314,3.0514,3.4284,7.5079
1.7181,2.1854,2.4264,5.9306
2.0627,2.8079,3.1482,7.013
2.1393,2.7648,3.1286,6.8384
1.8719,2.3464,2.5831,5.8713
2.3093,3.2326,3.8699,8.7709
1.9742,2.6204,2.8807,6.5736
1.9959,2.5061,2.7934,6.2791
1.7406,2.4972,3.3056,7.1744
1.988,2.6665,2.9767,6.8566
1.5794,1.9777,2.237,4.9647
2.3907,3.0654,3.3196,7.6581
1.9352,2.6105,2.9912,6.846
2.003,2.5456,2.8717,6.4409
2.0492,2.7713,3.0789,6.7968
1.6345,2.2245,2.7113,6.1765
1.9409,2.4747,2.6928,6.3552
2.4599,3.2334,3.5959,8.0304
2.1653,2.8747,3.2809,7.0
1.6988,2.1572,2.4014,5.6679
2.0693,2.7882,3.1493,6.8931
2.0319,2.5619,2.7933,6.433
1.8075,2.4553,2.9152,6.5338
2.3145,3.2134,3.6851,7.986
1.9538,2.5039,2.7481,6.2598
1.896,2.3221,2.602,5.8387
1.8242,2.5091,2.7961,6.4296
2.3722,3.0958,3.4371,7.7422
1.9502,2.4137,2.7416,6.0388
1.7437,2.4389,3.1854,7.4821
1.8481,2.5255,2.9056,6.3941
1.8468,2.3306,2.5324,5.908
2.0861,2.7967,3.1391,6.838
2.0632,2.792,3.3227,7.4588
1.8781,2.4176,2.6802,6.1095
2.3517,3.1151,3.5171,7.6462
1.6565,2.2925,2.7936,6.62
1.6428,2.0431,2.2632,5.3271
2.2515,3.0733,3.5086,7.4887
2.2188,2.8302,3.115,7.0504
1.7927,2.3859,2.7584,6.2109
2.1983,2.9286,3.1919,7.3947
1.8673,2.4306,2.7211,6.0034
1.5468,2.0633,2.5118,5.6786
2.2504,3.0791,3.4427,7.7791
2.3435,3.0448,3.4254,7.5567
1.7433,2.1785,2.3873,5.4649
1.968,2.7127,3.1244,7.0371
1.9396,2.5973,2.968,6.3978
2.3181,2.8868,3.1589,7.2691
2.0329,2.9045,3.5645,7.8402
1.9972,2.5589,2.772,6.5698
1.8352,2.2792,2.5323,5.7443
2.3179,3.0026,3.4053,7.3661
1.6414,2.2645,2.6497,5.9955
1.9334,2.4191,2.7221,6.1735
2.218,2.9195,3.2028,7.2433
1.7216,2.3723,3.017,6.9649
1.7746,2.3617,2.7262,5.9728
2.1606,2.8795,3.1917,7.1567
2.3278,2.996,3.3939,7.3855
1.8773,2.4073,2.6448,6.4553
2.1168,2.9063,3.2575,7.197
2.2112,2.8895,3.2684,7.1093
1.4394,1.8597,2.1516,5.1159
1.9864,2.6711,3.0168,6.8124
2.1446,2.7805,3.0296,6.9548
2.1096,2.6147,2.9079,6.5586
2.077,2.9197,3.4426,7.5538
2.0136,2.5613,2.8112,6.5116
1.695,2.1715,2.4596,5.3737
2.0769,2.8925,3.4441,8.0151
2.1306,2.8845,3.2547,7.2301
1.9613,2.4259,2.7615,6.0986
2.0719,2.7506,3.0419,6.7664
1.8982,2.5564,2.917,6.604
1.7592,2.2431,2.4288,5.672
2.6278,3.4399,3.8242,8.4949
1.6272,2.2642,2.947,6.4809
1.7694,2.2575,2.4975,5.8645
2.0979,2.8389,3.2063,6.9789
2.0664,2.621,2.8549,6.5631
1.7826,2.3135,2.6554,6.0859
2.3406,3.1577,3.5946,7.8621
2.1321,2.7553,3.052,6.8478
1.6745,2.2599,2.8103,6.4496
1.8756,2.6059,2.895,6.5866
1.895,2.4413,2.7059,6.1054
2.0864,2.647,3.0047,6.5552
2.136,2.9396,3.3559,7.8026
2.0372,2.7617,3.1237,6.8209
1.6929,2.0367,2.2035,5.2071
1.6912,2.3569,2.8834,6.5331
2.2947,3.0283,3.4478,7.6916
1.9337,2.4761,2.7416,6.1827
2.3905,3.1619,3.5728,7.7276
1.7958,2.3792,2.6494,6.1798
1.8246,2.2765,2.5367,5.7833
2.0265,2.7424,3.1404,6.6431
2.0177,2.7479,3.2032,7.5258
1.8388,2.3216,2.6035,5.9195
2.2751,2.9206,3.1637,7.34
1.9158,2.5293,2.8372,6.2046
1.6745,2.249,2.6689,5.9824
2.33,3.2038,3.5704,7.9947
2.2147,2.8054,3.1539,6.9963
1.5145,2.0119,2.3836,5.6294
2.0664,2.8244,3.2002,7.219
2.0101,2.6722,3.0454,6.5692
1.7164,2.0692,2.2844,5.2591
2.0638,2.9018,3.449,7.503
2.1261,2.7578,2.9844,7.0022
1.9647,2.4956,2.7737,6.2253
1.8651,2.6477,3.3994,7.5988
1.7755,2.3584,2.6191,5.9839
2.205,2.7642,3.1009,6.9481
2.3997,3.1472,3.4457,7.7914
2.1093,2.8538,3.2632,7.5086
1.6848,2.1421,2.4443,5.3623
2.1199,2.7599,3.0559,6.8359
1.6501,2.2743,2.7591,6.1435
2.0822,2.6474,2.8886,6.8135
2.2746,3.0974,3.4935,7.5642
2.1814,2.7805,3.175,6.8492
1.7071,2.1988,2.4285,5.7118
2.1864,2.8979,3.2382,7.2216
2.2508,2.9555,3.2289,7.3211
1.6295,2.1585,2.6371,6.1963
2.1026,2.9179,3.375,7.3868
2.1356,2.7473,3.014,6.9195
1.8889,2.4296,2.7418,6.0002
1.8804,2.6107,3.0039,7.0425
2.132,2.7674,3.0881,6.9784
2.0737,2.5481,2.8947,6.4086
1.7087,2.4235,3.0426,6.7852
1.9725,2.6629,3.0366,6.7448
1.5968,1.9692,2.1214,5.0108
2.5391,3.2741,3.6331,8.1116
1.9644,2.7002,3.1664,6.945
1.9761,2.5068,2.7442,6.3706
2.2411,3.0108,3.3944,7.3548
1.6929,2.2671,2.6312,6.3337
1.6197,2.112,2.3688,5.3363
2.4918,3.3409,3.7938,8.1782
2.2173,2.8946,3.21,7.1443
1.7271,2.1782,2.476,5.6987
1.9719,2.634,2.8983,6.5596
2.0208,2.5766,2.8809,6.4006
1.9313,2.591,3.1055,6.9145
2.381,3.1886,3.5027,8.1166
1.9661,2.5839,2.9142,6.3621
1.855,2.2794,2.4672,5.7618
1.8171,2.5484,3.0191,6.7795
1.9972,2.6605,3.0167,6.6694
1.8988,2.3727,2.6151,5.966
1.8483,2.606,3.3882,7.6322
1.9463,2.5945,2.862,6.6581
1.994,2.5154,2.7977,6.3399
2.0628,2.8343,3.2506,6.8351
2.0346,2.7031,3.0769,7.1422
1.9381,2.4746,2.7981,6.2275
2.33,3.002,3.2501,7.5166
1.7022,2.3664,2.8925,6.5503
1.7099,2.1597,2.4488,5.5439
1.9955,2.6284,2.8964,6.5343
2.4337,3.0808,3.4596,7.6462
1.7685,2.3459,2.6115,6.0595
2.2345,3.0291,3.3864,7.5146
1.9831,2.5912,2.9539,6.3525
1.6046,2.1091,2.4405,5.7597
2.3239,3.2391,3.7031,8.0189
2.3467,3.0395,3.3255,7.5946
1.8197,2.2186,2.4851,5.5936
2.1038,2.8699,3.329,7.3814
1.841,2.4216,2.6723,6.0325
1.8492,2.3123,2.5947,5.7761
1.8645,2.635,3.3571,7.7983
2.0589,2.6959,3.0214,6.9773
1.8581,2.376,2.702,5.9194
2.2504,2.9245,3.2301,7.2447
1.8085,2.4884,2.9328,6.5579
2.0253,2.488,2.6951,6.425
2.221,2.9973,3.3791,7.321
1.8139,2.523,3.2077,7.12
1.8286,2.3957,2.6726,6.1068
2.278,3.0482,3.4403,7.5044
1.7739,2.2592,2.4494,5.6465
1.9006,2.4387,2.7415,6.4213
2.2789,3.0924,3.5073,7.6355
2.2409,2.842,3.1146,7.1186
1.5042,1.9746,2.3313,5.2951
1.9622,2.6172,2.8603,6.6805
2.2939,2.9885,3.3327,7.4135
2.2458,2.8005,3.1805,6.9668
2.0592,2.8761,3.2785,7.3796
2.0728,2.6799,3.0132,6.7077
1.818,2.2563,2.4609,5.6873
1.865,2.5947,3.1082,7.1228
2.1394,2.9579,3.4117,7.2699
1.829,2.2288,2.4332,5.6716
2.1623,2.8626,3.2266,7.0016
1.7808,2.3825,2.7039,6.4805
1.6976,2.2138,2.4723,5.5717
2.5929,3.4678,3.9312,8.4819
1.7168,2.3519,2.9158,6.7812
1.9055,2.4442,2.7635,6.3265
2.018,2.7338,3.0156,6.7579
2.0972,2.718,3.0386,6.7116
1.5551,2.0375,2.3864,5.3269
2.3895,3.1741,3.5114,8.0021
2.1452,2.8412,3.2238,6.9567
1.6743,2.2358,2.6098,6.3105
2.0619,2.8551,3.217,7.2214
1.9787,2.5095,2.8324,6.2785
1.9267,2.4222,2.6703,6.0583
2.1405,2.9677,3.4536,7.7231
2.0311,2.6769,2.924,6.719
1.8152,2.2013,2.4472,5.5842
1.7149,2.427,3.0217,6.5629
1.8586,2.4431,2.7044,6.2265
2.1178,2.7047,3.0521,6.7295
2.4781,3.2022,3.5078,7.9573
1.8198,2.4626,2.8198,6.279
1.8754,2.386,2.7179,5.975
2.0543,2.7212,3.0035,6.7117
1.8744,2.6233,3.4723,7.9444
1.6887,2.1269,2.3171,5.5187
2.2376,2.9387,3.2652,7.3349
2.0823,2.6945,3.0621,6.6251
1.7016,2.2176,2.5146,5.969
1.8774,2.624,2.9969,6.4428
2.2152,2.8098,3.0645,7.05
1.6471,2.2064,2.6822,6.1435
2.2091,3.0417,3.5026,7.708
1.9775,2.6348,2.9361,6.5102
1.8023,2.2161,2.5067,5.5584
2.1633,2.9644,3.338,7.8092
2.2925,2.98,3.2995,7.529
1.9811,2.5825,2.9407,6.3456
1.8708,2.6384,3.2363,7.4531
1.8353,2.4308,2.7516,6.1365
1.7552,2.1517,2.3293,5.4874
2.3682,3.1656,3.5561,7.7367
2.1221,2.8934,3.3691,7.4822
1.7866,2.2203,2.4468,5.6482
2.3011,2.9801,3.3589,7.349
1.6239,2.2308,2.6055,5.9624
2.1486,2.7846,3.1216,7.0606
2.4071,3.2915,3.7672,7.9788
2.1918,2.7478,3.0074,6.8847
1.6634,2.2192,2.5946,5.8607
2.0791,2.7836,3.0303,7.0641
1.996,2.6216,2.9196,6.4801
1.6749,2.1859,2.6874,6.2058
2.0122,2.7571,3.1,6.9883
2.1113,2.7379,3.0764,6.8181
1.8417,2.3038,2.5103,5.7871
1.9426,2.6969,3.1537,7.1989
2.1681,2.8765,3.2845,7.1372
2.0516,2.5269,2.7868,6.386
1.8741,2.6546,3.38,7.5049
2.0495,2.6883,2.9137,6.9619
1.6296,2.062,2.293,5.1663
2.0978,2.7661,3.1372,6.7589
2.0214,2.7377,3.0955,7.1073
2.0986,2.6834,3.0057,6.7648
2.1511,2.8976,3.1886,7.1308
1.7102,2.3008,2.7256,6.2964
1.6989,2.1856,2.4905,5.5314
2.5516,3.3222,3.6626,8.2829
2.1712,2.8885,3.2811,7.043
1.7208,2.1685,2.3794,5.6702
2.0874,2.8052,3.15,6.9313
2.1301,2.7328,3.1129,6.7324
1.4149,1.9235,2.3656,5.5183
2.3288,3.2258,3.6884,8.2702
2.0634,2.6524,2.8767,6.6833
2.0201,2.482,2.7537,6.2553
1.8232,2.6023,3.1448,6.7637
1.957,2.598,2.8694,6.5434
1.9485,2.4159,2.7228,6.0648
1.8851,2.6087,3.1968,7.5764
1.9306,2.6046,2.9489,6.5754
1.9787,2.517,2.8613,6.2783
2.1495,2.8542,3.1766,7.0106
1.7862,2.3851,2.7669,6.2798
1.8784,2.3962,2.597,6.0642
2.3653,3.1131,3.4623,7.6827
1.7983,2.5173,3.1285,6.9126
1.7414,2.1784,2.3863,5.6379
1.9968,2.693,3.0424,6.5923
2.4353,3.0858,3.3598,7.719
1.9936,2.6383,2.9922,6.8364
2.4748,3.3378,3.7812,8.259
1.8722,2.4266,2.6976,6.0069
1.6083,2.1065,2.4772,5.6464
1.9047,2.5824,2.8545,6.4907
2.4124,3.1102,3.4767,7.7309
1.8661,2.3334,2.6735,5.7972
1.9463,2.6693,3.0936,7.2113
1.9617,2.6044,2.9324,6.5246
1.887,2.3305,2.5189,5.9152
1.9085,2.7339,3.5506,7.8475
2.1125,2.8163,3.2282,7.1726
1.9019,2.4019,2.6465,6.0498
2.3701,3.0981,3.4904,7.6092
1.7779,2.4357,2.7727,6.3868
1.6397,2.0206,2.2501,5.1741
2.4231,3.211,3.6618,7.8421
1.8702,2.5379,3.0634,7.1898
1.799,2.382,2.7219,5.9837
2.1645,2.856,3.0966,7.1358
1.8879,2.4181,2.6874,5.999
2.0226,2.6208,3.0101,6.8523
2.2133,3.0006,3.3236,7.4468
2.2834,2.955,3.3168,7.3008
1.5716,2.0306,2.2884,5.4997
2.0987,2.8069,3.1302,7.1317
1.8804,2.5109,2.8649,6.1354
2.2055,2.7582,3.0416,6.9055
2.1721,3.0546,3.5386,7.7772
2.0445,2.5831,2.8073,6.5604
1.7844,2.2394,2.508,5.5909
1.6555,2.3535,3.1866,7.0648
2.186,2.93,3.2549,7.5453
1.9944,2.4414,2.7237,6.2237
2.0616,2.7476,3.0156,6.7731
1.8474,2.5058,2.9002,6.6422
1.8097,2.3717,2.6971,5.9198
2.1654,2.8457,3.1369,7.0562
1.7961,2.4901,3.1063,6.9042
1.8993,2.4239,2.6426,6.2682
2.2112,2.9776,3.3354,7.3298
2.2575,2.9167,3.316,7.1626
1.4619,1.8711,2.1033,4.8648
2.3878,3.1929,3.608,7.9311
2.1125,2.7066,2.9343,6.7679
1.7437,2.3047,2.7053,6.3573
2.0433,2.8552,3.2771,7.0827
1.9455,2.4627,2.6992,6.1957
1.759,2.1916,2.4649,5.4724
2.2588,3.0567,3.3943,8.0385
2.0447,2.7566,3.0975,6.799
1.8779,2.3226,2.6414,5.8121
1.7912,2.4952,2.9505,6.7061
1.9668,2.599,2.9317,6.5565
2.0674,2.6476,2.902,6.6156
2.5119,3.314,3.7169,8.1234
1.8391,2.4945,2.9767,6.5817
1.8136,2.2551,2.4575,5.8078
1.9982,2.7072,3.0606,6.603
1.5677,2.1557,2.6243,6.2446
1.8635,2.3648,2.6404,6.0859
2.4172,3.1882,3.6067,7.8835
2.0587,2.6731,2.9598,6.6139
1.8047,2.3838,2.7547,6.2803
2.0619,2.7831,3.0544,6.976
2.4414,3.0773,3.4289,7.694
1.7168,2.3336,2.8655,6.2875
2.1941,2.9983,3.3556,7.593
2.1048,2.8142,3.1913,6.8989
1.724,2.0669,2.2262,5.2814
1.7773,2.4595,2.8236,6.3153
2.3064,3.0205,3.4172,7.527
2.0257,2.5475,2.8022,6.3838
2.0123,2.8265,3.4578,7.8306
1.7952,2.3724,2.6043,5.9892
1.8159,2.2672,2.5236,5.7026
2.5222,3.3825,3.8605,8.2066
2.1907,2.9373,3.2925,7.6293
1.8412,2.3375,2.6419,5.8532
2.2506,2.911,3.1907,7.2387
1.5726,2.1983,2.8829,6.5324
1.8348,2.4168,2.7863,6.2359
2.2753,3.1249,3.4696,7.699
2.1525,2.7293,3.0591,6.7846
1.6384,2.1183,2.3538,5.63
2.1486,2.8711,3.1915,7.2371
1.949,2.5939,2.9527,6.3388
1.7041,2.2145,2.6042,6.2245
2.1889,2.9989,3.4212,7.589
2.1835,2.7741,3.0096,7.0171
1.8702,2.3987,2.6876,5.9395
1.9791,2.7886,3.3186,7.2983
1.8199,2.3776,2.633,5.9731
2.1932,2.7201,3.067,6.8202
1.8628,2.612,3.1307,7.2797
2.1043,2.8085,3.1294,7.161
1.7406,2.1485,2.4305,5.4171
2.169,2.7577,3.0276,6.8796
2.0101,2.7533,3.1859,7.016
2.003,2.53,2.7413,6.4286
2.2575,3.0348,3.4022,7.4236
1.8078,2.4517,2.9581,6.6578
1.6669,2.1481,2.3793,5.4436
2.1231,2.8196,3.1784,6.9303
